what,kind,bundleId,bundleVersion,description,time
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695843635
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695856013
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695870739
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743695870755
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743695872396
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695875504
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695881117
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695881128
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695881155
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743695881168
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695885817
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695924159
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743695925774
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695946335
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743696054063
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743696062012
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696092367
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696107074
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743696107091
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743696110500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696113470
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743696117567
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743696117576
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696117619
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743696117638
