what,kind,bundleId,bundleVersion,description,time
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743690134522
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743690138087
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743690147450
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690149986
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690240544
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690243163
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690255564
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743690255600
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743690258273
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690260669
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743690265513
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743690265540
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690265685
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743690265720
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743690442221
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743690524546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743690579720
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743690616998
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690629205
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690631120
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690632568
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690895309
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743690911941
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690922278
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743690933519
