what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743695598474
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695608907
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695613821
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695613836
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695613908
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743695613931
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695625462
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695638499
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743695639951
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695642309
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695648671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695661685
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743695669053
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695677426
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695678574
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695692656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695695129
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695707238
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743695707257
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743695711511
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695716002
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695721578
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695721590
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695721627
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743695721644
