what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1743695427402
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695432933
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695474308
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695480709
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695485046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695487391
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695489971
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695502897
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743695502919
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743695504892
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695511033
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695515469
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695515482
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695515569
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743695515589
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695521090
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695541376
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743695543778
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695546765
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743695553926
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743695559813
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743695566121
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695578143
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743695593350
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743695593368
