what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743688325853
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743688342947
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743688357344
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743688369970
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743688375702
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743688421362
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743688424766
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743688430677
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743688434845
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743688444438
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743688444460
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743688447978
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743688451297
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743688457596
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743688457608
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743688457691
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743688457725
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743688600587
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743688624333
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743688630951
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743688631850
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743688636767
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743688647355
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743688653694
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743688709195
