what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696128206
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696138936
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743696145893
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743696159676
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743696166706
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743696183767
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696186652
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696205155
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696208372
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696232578
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743696232600
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743696236131
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696238834
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743696245126
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743696245140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696245226
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743696245250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696266112
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696272342
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743696274027
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743696286792
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743696293489
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743696310411
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743696313175
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743696332497
