what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743691023658
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743691027944
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743691027955
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743691083660
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691096333
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691097808
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691100250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691299830
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743691324807
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743691330003
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743691339810
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743691343391
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743691351565
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691353898
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691394545
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691397619
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691412061
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743691412077
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743691415422
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691419106
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743691425037
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743691425045
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691425076
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743691425087
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743691426388
